Source_Database_Code,PatientID,PatientFirstName,PatientMiddleName,PatientLastName,PatientAddress,PatientAddress2,PatientCity,PatientState,PatientZip,PatientDOB,PatientPhone,PatientGender,ResponsiblePartyFirstName,ResponsiblePartyMiddleName,ResponsiblePartyLastName,ResponsiblePartyAddress,ResponsiblePartyAddress2,ResponsiblePartyCity,ResponsiblePartyState,ResponsiblePartyZip,ResponsiblePartyPhone,PatientSSN,PatientSuffix,PatientCellPhone,ResponsiblePartySSN,ResponsiblePartySuffix,ResponsiblePartyCellPhone,ResponsiblePartyDOB,Imagine_Propensity_to_Pay_Grade,Imagine_Propensity_to_Pay_Description,Bad_Address_Indicator,PatientRace,PatientEthnicity,patEmail,tbl_Refresh_Date,PatientPhone_norm,ResponsiblePartyPhone_norm,PatientCellPhone_norm,ResponsiblePartyCellPhone_norm,_phone_institutional_flag,_pk_composite
MRB,1005554,ELIZABETH,C,ROBERTS,2319 AMANA BLVD,,MOUNT JULIET,TN,37122,1971-11-11,(931)378-4904,F,ELIZABETH,C,ROBERTS,1956 PARK CT,APT 345,LEBANON,TN,37087,(865)580-1788,,,,,,,1960-03-22,,,,,,,2026-05-01,9313784904,8655801788,,,False,MRB:1005554
SMED,1005556,MICHAEL,K,HERNANDEZ,9167 SCHOOL DR,,FORT WORTH,TX,76101,1981-12-26,(817)209-4571,M,MICHAEL,K,HERNANDEZ,1327 MAPLE PL,,FORT WORTH,TX,76101,(817)209-4571,,,,,,,1968-08-21,B,,0.0,,,MICHAELHER663@HOTMAIL.COM,2026-05-01,8172094571,8172094571,,,False,SMED:1005556
PXP,1005560,STEVEN,M,SCOTT,6515 LAKE AVE,,FORT LAUDERDALE,FL,33301,1998-09-05,,M,STEVEN,M,SCOTT,6020 AMANA BLVD,,FORT LAUDERDALE,FL,33301,,,,,,,,1998-09-05,B,High,0.0,Black or African American,,STEVENSCO239@OUTLOOK.COM,2026-05-01,,,,,False,PXP:1005560
RADN,1005562,LAURA,J,KING,840 AMANA CIR,,COLUMBUS,OH,43201,1954-06-12,(419)776-8215,F,LAURA,J,KING,7640 MAIN AVE,,CLEVELAND,OH,44101,(937)784-0225,,,,999-69-3814,,,1954-06-12,,,0.0,,Not Hispanic,,2026-05-01,4197768215,9377840225,,,False,RADN:1005562
RADO,1005564,MELISSA,V,MITCHELL,2936 CEDAR WAY,,TAMPA,FL,33601,2004-06-21,(954)736-5714,F,MELISSA,V,MITCHELL,9233 SUNSET CT,,MIAMI,FL,33101,(813)360-4715,,,,,,,1970-02-25,,,0.0,White,,,2026-05-01,9547365714,8133604715,,,False,RADO:1005564
MRB,1005568,SHIRLEY,W,ROBINSON,4854 HILL CIR,,LEBANON,TN,37087,1994-04-28,(931)663-7648,F,SHIRLEY,W,ROBINSON,7475 CEDAR PL,APT 181,FRANKLIN,TN,37064,(423)237-7432,,,,999-46-9603,,,2001-10-02,,,,White,,SHIRLEYROB147@AOL.COM,2026-05-01,9316637648,4232377432,,,False,MRB:1005568
RADA,1005572,SUSAN,,LOPEZ,7005 SPRING ST,,MOUNT JULIET,TN,37122,1979-01-19,(931)563-0119,F,SUSAN,,LOPEZ,126 PINE WAY,,MURFREESBORO,TN,37128,,,,,999-94-8787,,,1979-01-19,D,Medium,,Black or African American,Not Hispanic,SUSANLOP243@AOL.COM,2026-05-01,9315630119,,,,False,RADA:1005572
SAPA,1005573,LINDA,,MARTINEZ,5874 CHURCH WAY,,DALLAS,TX,75201,1997-03-24,(210)736-0208,F,LINDA,,MARTINEZ,9848 ELM CT,APT 309,HOUSTON,TX,77001,(210)736-0208,,,,,,,1997-03-24,,,0.0,,,LINDAMAR97@GMAIL.COM,2026-05-01,2107360208,2107360208,,,False,SAPA:1005573
RADF,1005577,LAURA,Z,FLORES,3970 CEDAR WAY,,CARSON CITY,NV,89701,1966-05-27,(725)686-1054,F,LAURA,Z,FLORES,9334 HILL PL,,LAS VEGAS,NV,89101,(775)750-4012,999-81-8452,,,,,,1966-05-27,B,,0.0,,,,2026-05-01,7256861054,7757504012,,,False,RADF:1005577
ACRB,1005581,LAURA,T,JOHNSON,5920 MAPLE CIR,,TOLEDO,OH,43601,1992-03-08,(216)211-2297,F,LAURA,T,JOHNSON,4240 SUNSET RD,,DAYTON,OH,45401,(419)225-0412,,,,,,,1992-03-08,,,0.0,,,,2026-05-01,2162112297,4192250412,,,False,ACRB:1005581
RADK,1005584,CHRISTOPHER,D,SANCHEZ,1061 MAPLE PL,,ATLANTA,GA,30301,2003-04-16,(478)496-5838,M,CHRISTOPHER,D,SANCHEZ,9429 CHURCH AVE,APT 288,COLUMBUS,GA,31901,(706)737-0534,999-45-8808,,,,,,1976-01-04,B,High,0.0,,Not Hispanic,CHRISTOPHERSAN151@OUTLOOK.COM,2026-05-01,4784965838,7067370534,,,False,RADK:1005584
RADT,1005586,MELISSA,,JACKSON,9798 SUNSET CT,,DAYTON,OH,45401,2007-04-15,(937)983-8415,F,MELISSA,,JACKSON,9798 HILL LN,,CINCINNATI,OH,45201,(419)624-8391,999-83-4652,,,999-83-4652,,,2007-04-15,,,1.0,,,,2026-05-01,9379838415,4196248391,,,False,RADT:1005586
RADB,1005588,MATTHEW,,MARTINEZ,8293 RIVER AVE,,AUSTIN,TX,78701,1991-02-23,(214)486-7210,M,MATTHEW,,MARTINEZ,3981 HILL BLVD,APT 55,SAN ANTONIO,TX,78201,,,,,,,,1991-02-23,F,,0.0,,,,2026-05-01,2144867210,,,,False,RADB:1005588
PMR,1005590,RICHARD,,MILLER,3901 MAIN WAY,,FRANKLIN,TN,37064,1942-11-14,(901)525-9604,M,RICHARD,,MILLER,2490 AMANA RD,,KNOXVILLE,TN,37902,(615)733-3796,,,,,,,1964-10-04,,,0.0,Black or African American,,,2026-05-01,9015259604,6157333796,,,False,PMR:1005590
NRA,1005592,MARY,D,YOUNG,3355 PARK RD,,MOUNT JULIET,TN,37122,1992-03-31,(901)527-1500,F,MARY,D,YOUNG,8924 PINE DR,,KNOXVILLE,TN,37902,(901)527-1500,,,,,,,1944-09-24,,,0.0,,,MARYYOU780@OUTLOOK.COM,2026-05-01,9015271500,9015271500,,,False,NRA:1005592
RADQ,1005594,DANIEL,L,WHITE,8106 AMANA AVE,,HENDERSON,NV,,1971-05-21,(725)680-9312,M,DANIEL,L,WHITE,7328 ELM CT,,CARSON CITY,NV,89701,(725)680-9312,999-11-6897,,,999-11-6897,,,1945-02-28,F,Very Low,0.0,,Not Hispanic,,2026-05-01,7256809312,7256809312,,,False,RADQ:1005594
RADT,1005596,RONALD,M,RAMIREZ,3497 OAK CIR,APT 465,DAYTON,OH,45401,1990-11-21,(216)881-6712,M,RONALD,M,RAMIREZ,9480 AMANA RD,,AKRON,OH,44301,(216)881-6712,,,,999-55-2054,,,1990-11-21,,,,,,RONALDRAM414@OUTLOOK.COM,2026-05-01,2168816712,2168816712,,,False,RADT:1005596
RADS2,1005600,NANCY,S,CAMPBELL,998 PINE BLVD,APT 117,PLANO,TX,75023,1972-10-23,(713)859-9227,F,NANCY,S,CAMPBELL,6158 HILL AVE,,DALLAS,TX,75201,(817)947-7490,,,,999-47-9222,,,1972-10-23,F,Very Low,0.0,White,,NANCYCAM371@HOTMAIL.COM,2026-05-01,7138599227,8179477490,,,False,RADS2:1005600
RADG,1005602,JENNIFER,M,HERNANDEZ,1197 ELM LN,,KNOXVILLE,TN,37902,1968-12-11,(423)735-4247,F,JENNIFER,M,HERNANDEZ,7012 MAPLE AVE,,MOUNT JULIET,TN,37122,,999-81-8163,,,999-81-8163,,,1968-12-11,C,Medium-High,0.0,Black or African American,,JENNIFERHER666@GMAIL.COM,2026-05-01,4237354247,4237354247,,,False,RADG:1005602
RADZ,1005605,SHARON,A,CLARK,9376 CEDAR CIR,,ORLANDO,FL,32801,1952-10-06,(954)725-7910,F,SHARON,A,CLARK,3931 MAPLE BLVD,,JACKSONVILLE,FL,32099,(407)747-5117,,,,,,,1952-10-06,F,,1.0,White,,SHARONCLA582@YAHOO.COM,2026-05-01,9547257910,4077475117,,,False,RADZ:1005605
RADS2,1005607,LISA,B,WHITE,6025 MAIN ST,,PLANO,TX,75023,1950-03-28,(214)261-5943,F,LISA,B,WHITE,541 AMANA DR,,FORT WORTH,TX,76101,(214)261-5943,999-41-7755,,,999-41-7755,,,1988-10-08,C,,0.0,,,,2026-05-01,2142615943,2142615943,,,False,RADS2:1005607
RADY,1005610,STEVEN,G,SCOTT,4597 OAK CIR,APT 220,COLUMBUS,OH,43201,1962-06-13,(937)628-5094,M,STEVEN,G,SCOTT,3275 LAKE ST,,COLUMBUS,OH,43201,(937)353-3967,,,,,,,1962-06-13,A,Very High,1.0,,,,2026-05-01,9376285094,9373533967,,,False,RADY:1005610
SAPA,1005611,KENNETH,A,HERNANDEZ,4001 CEDAR CIR,,AUSTIN,TX,78701,1944-09-03,,M,KENNETH,A,HERNANDEZ,8637 PINE PL,,DALLAS,TX,75201,,,,,,,,1944-09-03,A,Very High,0.0,Hispanic,,,2026-05-01,,,,,False,SAPA:1005611
PMR,1005614,MARIA,C,LEE,7497 AMANA CIR,,LEBANON,TN,37087,1954-05-24,(901)756-1419,F,MARIA,C,LEE,5194 AMANA CIR,APT 239,MOUNT JULIET,TN,37122,(901)756-1419,,,,,,,1954-05-24,,,1.0,,,,2026-05-01,9017561419,9017561419,,,False,PMR:1005614
ACRB,1005617,LAURA,K,PEREZ,8056 MAIN BLVD,,COLUMBUS,OH,43201,1998-01-26,(330)580-1085,F,LAURA,K,PEREZ,7901 RIVER CT,,COLUMBUS,OH,43201,(330)580-1085,,,,999-37-9462,,,1998-01-26,,,0.0,White,,LAURAPER776@HOTMAIL.COM,2026-05-01,3305801085,3305801085,,,False,ACRB:1005617
RADF,1005618,NANCY,T,THOMPSON,7004 HILL CIR,,HENDERSON,NV,89002,2002-11-12,(725)570-4468,F,NANCY,T,THOMPSON,4513 MAPLE ST,,RENO,NV,89501,(725)570-4468,999-55-2202,,,999-55-2202,,,2002-11-12,,,1.0,Asian,,NANCYTHO261@HOTMAIL.COM,2026-05-01,7255704468,7255704468,,,False,RADF:1005618
NRA,1005619,WILLIAM,F,MARTIN,6244 PARK CIR,,NASHVILLE,TN,37201,1955-04-09,(615)583-0554,M,WILLIAM,F,MARTIN,9998 ELM DR,,KNOXVILLE,TN,37902,(865)954-2415,999-22-7215,,,999-22-7215,,,1955-04-09,A,Very High,0.0,,,WILLIAMMAR544@OUTLOOK.COM,2026-05-01,6155830554,8659542415,,,False,NRA:1005619
RADS,1005623,GEORGE,,MOORE,6439 SPRING CIR,,LEBANON,TN,37087,1984-04-20,(901)335-0094,M,GEORGE,,MOORE,8822 PARK LN,,KNOXVILLE,TN,37902,(615)356-7979,,,(931)853-1629,999-35-4994,,,1984-04-20,E,,0.0,,,,2026-05-01,9013350094,6153567979,9318531629,,False,RADS:1005623
RADJ,1005624,JENNIFER,E,PEREZ,2901 SCHOOL WAY,,JACKSONVILLE,FL,32099,1956-09-15,(561)668-6853,F,JENNIFER,E,PEREZ,4809 SUNSET BLVD,,FORT LAUDERDALE,FL,33301,(561)668-6853,999-32-9813,,,,,,1956-09-15,B,High,,,,JENNIFERPER387@HOTMAIL.COM,2026-05-01,5616686853,5616686853,,,False,RADJ:1005624
RADA,1005626,LAURA,,LEWIS,1735 CHURCH CIR,,LEBANON,TN,37087,1941-10-11,(865)797-8829,F,LAURA,,LEWIS,533 CHURCH CIR,APT 176,LEBANON,TN,37087,(865)797-8829,,,,999-68-1341,,,1941-10-11,F,Very Low,0.0,White,,,2026-05-01,8657978829,8657978829,,,False,RADA:1005626
MRB,1005628,MARGARET,Z,THOMAS,1760 SUNSET ST,,KNOXVILLE,TN,37902,1948-04-27,(865)402-2860,F,MARGARET,Z,THOMAS,1845 LAKE WAY,,FRANKLIN,TN,37064,(865)611-3614,999-12-7862,,,,,,1965-04-09,C,,0.0,,,,2026-05-01,8654022860,8656113614,,,False,MRB:1005628
RADI2,1005632,RICHARD,A,YOUNG,6603 PARK WAY,,CINCINNATI,OH,45201,1947-08-14,(330)860-0836,M,RICHARD,A,YOUNG,4608 OAK LN,,CINCINNATI,OH,45201,,999-59-9674,,,999-59-9674,,,1947-08-14,,,0.0,,,RICHARDYOU873@AOL.COM,2026-05-01,3308600836,,,,False,RADI2:1005632
RADS,1005634,RONALD,,KING,3200 CEDAR CT,,MOUNT JULIET,TN,37122,1955-12-04,(931)934-1158,M,RONALD,,KING,,,MOUNT JULIET,TN,37122,(931)934-1158,999-73-4788,,,999-73-4788,,,1955-12-04,C,Medium-High,0.0,American Indian,,RONALDKIN970@HOTMAIL.COM,2026-05-01,9319341158,9319341158,,,False,RADS:1005634
RADE,1005637,GARY,G,RICE,5643 PINE ST,,ST PETE,FL,33701,1948-09-24,(813)325-3674,M,GARY,G,RICE,2916 CEDAR DR,,MIAMI,FL,33101,(813)325-3674,,,,,,,1948-09-24,A,,1.0,,,,2026-05-01,8133253674,8133253674,,,False,RADE:1005637
PXP,1005639,RICHARD,C,DAVIS,954 MAPLE CT,,TAMPA,FL,33601,1965-06-11,(561)362-9583,M,RICHARD,C,DAVIS,3658 MAIN AVE,,MIAMI,FL,33101,(407)997-8453,999-32-4318,,,999-75-6007,,,1997-02-21,,,0.0,,,RICHARDDAV586@YAHOO.COM,2026-05-01,5613629583,4079978453,,,False,PXP:1005639
PMR,1005643,DANIEL,S,BAKER,648 AMANA DR,,MOUNT JULIET,TN,37122,1972-03-19,(865)736-4457,M,DANIEL,S,BAKER,4371 ELM AVE,,FRANKLIN,TN,37064,(423)293-4400,,,,,,,,F,,0.0,White,,,2026-05-01,8657364457,4232934400,,,False,PMR:1005643
ACR,1005647,JOHN,,RODRIGUEZ,9883 RIVER RD,,AKRON,OH,44301,2008-04-03,,M,JOHN,,RODRIGUEZ,6110 HILL DR,,CINCINNATI,OH,45201,,999-49-9960,,,999-68-1831,,,1961-11-17,A,,0.0,,,,2026-05-01,,,,,False,ACR:1005647
RADC,1005650,DOROTHY,,SMITH,5329 SPRING CT,,TOLEDO,OH,43601,1995-05-10,(216)736-5675,F,DOROTHY,,SMITH,7620 SUNSET WAY,APT 162,AKRON,OH,44301,(216)611-6440,,,,,,,1995-05-10,,,0.0,White,,,2026-05-01,2167365675,2166116440,,,False,RADC:1005650
WRAD,1005651,ANGELA,F,NGUYEN,134 MAIN RD,,CARSON CITY,NV,89701,1957-07-12,(775)883-1609,F,ANGELA,F,NGUYEN,685 ELM WAY,,LAS VEGAS,NV,89101,(775)443-9669,999-68-2040,,,999-68-2040,,,1957-07-12,B,,,,Not Hispanic,,2026-05-01,7758831609,7754439669,,,False,WRAD:1005651
RADF,1005655,EDWARD,,MARTIN,7921 OAK ST,,LAS VEGAS,NV,89101,1987-11-04,(702)577-1812,M,EDWARD,,MARTIN,4718 HILL DR,,CARSON CITY,NV,89701,,,,,999-19-1685,,,1987-11-04,,,0.0,Black or African American,,,2026-05-01,7025771812,,,,False,RADF:1005655
SMED,1005657,CHRISTOPHER,,MILLER,5902 SPRING DR,,FORT WORTH,TX,76101,1990-05-20,(512)716-8210,M,CHRISTOPHER,,MILLER,7773 AMANA DR,,AUSTIN,TX,78701,(817)970-2614,999-79-1610,,,999-79-1610,,,1990-05-20,C,Medium-High,0.0,White,,,2026-05-01,5127168210,8179702614,,,False,SMED:1005657
RADJ,1005659,KAREN,,RAMIREZ,7467 RIVER BLVD,,FORT LAUDERDALE,FL,33301,1973-07-22,(904)496-2058,F,KAREN,,RAMIREZ,8493 AMANA ST,,FORT LAUDERDALE,FL,33301,(305)737-5531,,,,,,,1973-07-22,E,Low,,Black or African American,,,2026-05-01,9044962058,3057375531,,,False,RADJ:1005659
RADY,1005662,LISA,W,RICE,3019 ELM PL,,AKRON,OH,44301,1966-08-12,(937)254-2447,F,LISA,W,RICE,1055 HILL CT,,COLUMBUS,OH,43201,(937)254-2447,999-44-4974,,,999-44-4974,,,1966-08-12,,,0.0,White,,,2026-05-01,9372542447,9372542447,,,False,RADY:1005662
RASFA,1005663,DONNA,H,WILSON,2110 MAIN ST,,FORT WORTH,TX,76101,1986-09-17,,F,DONNA,H,WILSON,4954 OAK PL,APT 472,SAN ANTONIO,TX,78201,(512)618-2468,,,,,,,1993-12-29,F,Very Low,,White,,,2026-05-01,,5126182468,,,False,RASFA:1005663
RADM,1005667,CAROL,,GREEN,6361 RIVER LN,,HOUSTON,TX,77001,1990-08-01,(972)678-7498,F,CAROL,,GREEN,624 OAK AVE,,PLANO,TX,75023,(972)678-7498,,,,,,,1990-08-01,F,,0.0,,,,2026-05-01,9726787498,9726787498,,,False,RADM:1005667
RADR,1005669,GARY,P,HARRIS,4121 LAKE AVE,,KNOXVILLE,TN,37902,1992-06-26,(901)688-6417,M,GARY,P,HARRIS,9415 PINE WAY,,LEBANON,TN,37087,(901)688-6417,999-54-1606,,,999-54-1606,,,1992-06-26,B,High,0.0,White,,GARYHAR131@GMAIL.COM,2026-05-01,9016886417,9016886417,,,False,RADR:1005669
RADF,1005673,DEBORAH,B,ROBINSON,8934 CHURCH BLVD,,NORTH LAS VEGAS,NV,89030,1995-06-04,(725)399-3041,F,DEBORAH,B,ROBINSON,6924 MAPLE CT,,RENO,NV,89501,(775)296-0934,999-28-5332,,,999-33-2194,,,1995-01-02,A,Very High,0.0,,,DEBORAHROB792@GMAIL.COM,2026-05-01,7253993041,7752960934,,,False,RADF:1005673
PMR,1005674,ROBERT,,ALLEN,489 PARK LN,,FRANKLIN,TN,37064,1981-08-27,(931)394-3606,M,ROBERT,,ALLEN,3575 SUNSET BLVD,,KNOXVILLE,TN,37902,(901)242-9582,999-98-3712,,,999-61-7900,,,1981-08-27,A,,0.0,,,ROBERTALL706@YAHOO.COM,2026-05-01,9313943606,9012429582,,,False,PMR:1005674
RADN,1005678,JOSE,L,NELSON,9902 AMANA WAY,,TOLEDO,OH,43601,2003-08-06,(513)415-3736,M,JOSE,L,NELSON,7351 MAPLE LN,,COLUMBUS,OH,43201,(513)415-3736,,,,,,(937)781-2121,1964-01-21,,,0.0,,,,2026-05-01,5134153736,5134153736,,9377812121,False,RADN:1005678
PMR,1005679,DONNA,B,YOUNG,3408 PARK WAY,,FRANKLIN,TN,37064,1991-01-19,(931)372-7611,F,DONNA,B,YOUNG,570 MAPLE PL,,NASHVILLE,TN,37201,(931)372-7611,999-64-7019,,,,,,,E,Low,0.0,White,,,2026-05-01,9313727611,9313727611,,,False,PMR:1005679
IAI,1005681,ANGELA,,HILL,4074 SPRING CT,,AUSTIN,TX,78701,1960-08-10,(512)377-1380,F,ANGELA,,HILL,7031 OAK DR,,SAN ANTONIO,TX,78201,(713)454-7975,999-73-2552,,,999-73-2552,,,1960-08-10,,,0.0,,,ANGELAHIL374@OUTLOOK.COM,2026-05-01,5123771380,7134547975,,,False,IAI:1005681
ACR,1005684,MARIA,R,JACKSON,2799 HILL DR,,DAYTON,OH,45401,1995-05-19,(330)252-9637,F,MARIA,R,JACKSON,6264 SCHOOL RD,,CINCINNATI,OH,45201,(330)252-9637,,,,,,,1995-05-19,E,Low,1.0,,,,2026-05-01,3302529637,3302529637,,,False,ACR:1005684
IAI,1005685,JAMES,N,LOPEZ,5674 MAPLE WAY,,HOUSTON,TX,77001,1978-05-27,(210)677-6715,M,JAMES,N,LOPEZ,2115 MAIN WAY,,PLANO,TX,75023,(210)677-6715,,,,,,,1978-05-27,D,,,,,JAMESLOP303@AOL.COM,2026-05-01,2106776715,2106776715,,,False,IAI:1005685
RADX,1005688,ROBERT,,RAMIREZ,5070 RIVER BLVD,,PLANO,TX,75023,1942-02-07,(972)311-6770,M,ROBERT,,RAMIREZ,9754 AMANA WAY,,SAN ANTONIO,TX,78201,(972)311-6770,999-42-3114,,,999-42-3114,,,1942-02-07,C,Medium-High,0.0,,,ROBERTRAM576@GMAIL.COM,2026-05-01,9723116770,9723116770,,,False,RADX:1005688
PXP,1005691,ANTHONY,,WALKER,8534 LAKE PL,,FORT LAUDERDALE,FL,33301,1973-12-21,(407)360-3255,M,ANTHONY,,WALKER,5369 SUNSET ST,,JACKSONVILLE,FL,32099,(407)360-3255,999-69-3231,,,999-69-3231,,,1973-12-21,A,,0.0,,Not Hispanic,ANTHONYWAL215@YAHOO.COM,2026-05-01,4073603255,4073603255,,9044311591,False,PXP:1005691
RADK,1005695,PATRICIA,V,HALL,6732 MAIN DR,,AUGUSTA,GA,30901,1985-05-16,(706)602-5207,F,PATRICIA,V,HALL,7446 MAPLE CIR,,ATHENS,GA,30601,(706)602-5207,999-24-3811,,,999-24-3811,,,1985-05-16,A,Very High,,,,,2026-05-01,7066025207,7066025207,,,False,RADK:1005695
RADX,1005699,MATTHEW,P,THOMAS,7507 HILL CIR,,FORT WORTH,TX,76101,1949-02-25,(817)614-2951,M,MATTHEW,P,THOMAS,3952 HILL BLVD,,PLANO,TX,75023,(817)614-2951,,,,,,,1949-02-25,F,,,White,,MATTHEWTHO648@GMAIL.COM,2026-05-01,8176142951,8176142951,,,False,RADX:1005699
RADQ,1005701,KEVIN,M,WHITE,6184 RIVER AVE,,SPARKS,NV,89431,1988-08-10,,M,KEVIN,M,WHITE,9229 CEDAR PL,,LAS VEGAS,NV,89101,,,,,,,,1988-08-10,A,,0.0,,,,2026-05-01,,,,,False,RADQ:1005701
NRA,1005702,SUSAN,,HARRIS,8078 CHURCH DR,,FRANKLIN,TN,37064,2005-10-03,(423)650-1940,F,SUSAN,,HARRIS,7154 CHURCH AVE,,NASHVILLE,TN,37201,(423)650-1940,999-14-2903,,,,,,1983-08-20,D,Medium,0.0,,,,2026-05-01,4236501940,4236501940,,,False,NRA:1005702
RADK,1005704,RONALD,S,BAKER,,,COLUMBUS,GA,31901,1960-02-27,(770)278-9605,M,RONALD,S,BAKER,5909 OAK CIR,,ATLANTA,GA,30301,(770)278-9605,,,,,,,1960-02-27,F,,0.0,Black or African American,,,2026-05-01,7702789605,7702789605,,,False,RADK:1005704
PMR,1005708,BETTY,B,WALKER,7799 CHURCH PL,,MURFREESBORO,TN,37128,1990-01-19,(931)832-6301,F,BETTY,B,WALKER,2020 LAKE RD,,LEBANON,TN,37087,(931)832-6301,999-70-5233,,,999-30-8239,,,2003-10-31,,,0.0,,,,2026-05-01,9318326301,9318326301,,,False,PMR:1005708
RADA,1005710,HELEN,,SMITH,6585 SPRING LN,,KNOXVILLE,TN,37902,1977-09-18,(931)961-2034,F,HELEN,,SMITH,4451 SCHOOL CIR,,NASHVILLE,TN,37201,(931)961-2034,999-19-5393,,,999-81-1850,,,1977-09-18,D,Medium,0.0,,,,2026-05-01,9319612034,9319612034,,,False,RADA:1005710
RADC,1005714,JENNIFER,A,WHITE,7801 LAKE WAY,,AKRON,OH,44301,1983-07-01,(330)296-2060,F,JENNIFER,A,WHITE,7911 ELM CT,,COLUMBUS,OH,43201,(330)296-2060,999-30-3967,,,999-30-3967,,,1983-07-01,,,0.0,,Not Hispanic,,2026-05-01,3302962060,3302962060,,,False,RADC:1005714
ACR,1005718,KIMBERLY,,JOHNSON,6093 AMANA WAY,,COLUMBUS,OH,43201,1963-01-15,,F,KIMBERLY,,JOHNSON,2203 HILL DR,,COLUMBUS,OH,43201,,999-56-6782,,,,,,1963-01-15,C,Medium-High,0.0,,,KIMBERLYJOH145@GMAIL.COM,2026-05-01,,,,,False,ACR:1005718
RADB,1005722,RONALD,,FLORES,5953 SUNSET LN,,SAN ANTONIO,TX,78201,2007-07-20,(817)819-7867,M,RONALD,,FLORES,4647 CHURCH RD,,SAN ANTONIO,TX,78201,(817)819-7867,,,,,,,2007-07-20,,,0.0,White,,,2026-05-01,8178197867,8178197867,,,False,RADB:1005722
RADL,1005723,PATRICIA,M,ROBERTS,6128 PARK BLVD,APT 174,MURFREESBORO,TN,37128,1999-02-13,(865)380-5017,F,PATRICIA,M,ROBERTS,9462 ELM PL,APT 20,MURFREESBORO,TN,37128,(865)380-5017,,,(865)221-4092,,,,1999-02-13,,,0.0,White,,,2026-05-01,8653805017,8653805017,8652214092,,False,RADL:1005723
RADZ,1005726,RONALD,J,LEE,8715 RIVER PL,APT 196,ORLANDO,FL,32801,1953-05-05,(813)822-5048,M,RONALD,J,LEE,7016 LAKE AVE,,FORT LAUDERDALE,FL,33301,(813)822-5048,,,,,,,1953-05-05,F,Very Low,1.0,,Not Hispanic,,2026-05-01,8138225048,8138225048,,,False,RADZ:1005726
NRA,1005730,GARY,,FLORES,9621 HILL AVE,,MURFREESBORO,TN,37128,1989-03-29,,M,GARY,,FLORES,8203 LAKE ST,,KNOXVILLE,TN,37902,,999-19-7670,,,999-19-7670,,,2002-05-19,B,,1.0,Black or African American,,GARYFLO732@OUTLOOK.COM,2026-05-01,,,,,False,NRA:1005730
RADQ,1005732,THOMAS,E,DAVIS,811 SUNSET CIR,,CARSON CITY,NV,89701,1966-08-05,,M,THOMAS,E,DAVIS,7136 SCHOOL RD,,SPARKS,NV,89431,,999-89-2311,,,999-89-2311,,,1966-08-05,F,,0.0,Black or African American,,THOMASDAV76@YAHOO.COM,2026-05-01,,,,,False,RADQ:1005732
RADB,1005733,MARGARET,,HILL,239 PINE CIR,,AUSTIN,TX,78701,1969-04-13,(512)902-2656,F,MARGARET,,HILL,4420 HILL AVE,APT 268,AUSTIN,TX,78701,(214)427-5659,999-13-9927,,,999-13-9927,,,1969-04-13,B,High,0.0,White,,MARGARETHIL735@AOL.COM,2026-05-01,5129022656,2144275659,,,False,RADB:1005733
RADS2,1005734,THOMAS,B,RIVERA,5536 MAPLE CT,,SAN ANTONIO,TX,78201,1990-04-07,(210)897-6936,M,THOMAS,B,RIVERA,130 PARK PL,,HOUSTON,TX,77001,(210)897-6936,,,,999-71-6389,,,1985-03-06,B,,,Hispanic,,THOMASRIV981@OUTLOOK.COM,2026-05-01,2108976936,2108976936,,,False,RADS2:1005734
NRA,1005738,MARIA,,WRIGHT,4374 MAPLE WAY,APT 441,MOUNT JULIET,TN,37122,1970-03-01,(423)749-8823,F,MARIA,,WRIGHT,4538 SUNSET BLVD,,KNOXVILLE,TN,37902,(423)749-8823,999-25-3242,,,999-60-6781,,,1970-03-01,E,,0.0,Black or African American,Not Hispanic,MARIAWRI694@GMAIL.COM,2026-05-01,4237498823,4237498823,,,False,NRA:1005738
WRAD,1005740,MARIA,,ADAMS,4146 LAKE PL,,RENO,NV,89501,1949-08-18,(725)559-0597,F,MARIA,,ADAMS,4209 ELM LN,,RENO,NV,89501,(725)559-0597,999-39-2075,,,999-39-2075,,,1996-01-18,F,,,,,,2026-05-01,7255590597,7255590597,,,False,WRAD:1005740
RADL,1005742,MELISSA,E,GONZALEZ,3927 CEDAR WAY,,NASHVILLE,TN,37201,2008-03-17,(423)418-3151,F,MELISSA,E,GONZALEZ,3251 RIVER AVE,,MOUNT JULIET,TN,37122,,,,,,,,2008-03-17,,,0.0,,,,2026-05-01,4234183151,,,,False,RADL:1005742
RADB,1005744,ANGELA,F,FLORES,5940 AMANA BLVD,,SAN ANTONIO,TX,78201,1977-12-18,,F,ANGELA,F,FLORES,3305 ELM LN,,FORT WORTH,TX,76101,,,,,,,,1977-12-18,D,Medium,,White,,ANGELAFLO509@AOL.COM,2026-05-01,,,,,False,RADB:1005744
MRB,1005746,NANCY,A,SMITH,3666 SCHOOL AVE,,NASHVILLE,TN,37201,2000-08-02,(423)774-0700,F,NANCY,A,SMITH,8482 SUNSET LN,,KNOXVILLE,TN,37902,(931)237-7490,999-91-5840,,,999-36-4095,,,1980-06-17,,,,,,,2026-05-01,4237740700,9312377490,,,False,MRB:1005746
